Hybridization REF,TCGA-35-3615-01A-01R-0946-07,TCGA-55-1592-01A-01R-0946-07,TCGA-67-3770-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-55-1594-01A-01R-0946-07,TCGA-67-3771-01A-01R-0946-07,TCGA-44-2656-01A-02R-0946-07,TCGA-55-1595-01A-01R-0946-07,TCGA-67-3772-01A-01R-0946-07,TCGA-44-2659-01A-01R-0946-07,TCGA-55-1596-01A-01R-0946-07,TCGA-67-3773-01A-01R-0946-07,TCGA-44-2662-01A-01R-0946-07,TCGA-64-1676-01A-01R-0946-07,TCGA-67-3774-01A-01R-0946-07,TCGA-44-2665-01A-01R-0946-07
C10orf107,-0.0505,-1.060333333,3.929166667,1.632166667,-0.404833333,2.2745,-0.272333333,-0.662666667,3.886666667,-0.668166667,0.406166667,-0.526,-1.012166667,-0.702333333,2.4035,0.273333333
PPP1R12A,-0.400125,-0.50175,-0.2275,0.153625,0.47325,0.32225,0.06375,0.161125,-0.09925,0.117,0.235625,0.12425,0.1645,0.521,-0.847125,0.0805
ZNF583,-0.568,0.89475,0.0305,-0.32325,0.3965,0.704,0.38375,0.7755,0.183,0.32725,-0.11025,0.65175,0.40275,-0.452,0.19375,0.45325
OR2T12,-0.56775,-0.18925,-0.725,-0.965,-0.2455,-0.3735,-0.74125,-0.3365,-0.18075,-0.691,0.20175,-0.34875,-0.60675,-0.15925,-0.55925,-0.3755
ZNF672,-0.047,0.1825,-0.4995,0.157,-0.8095,-0.1845,0.42075,0.0695,0.03475,-0.283,-0.02575,-0.3545,-0.66925,-0.4385,-0.192,-0.185
PLXNB3,0.073625,-0.3065,-1.06575,-0.299625,-0.619,-0.148375,0.693,0.812625,0.046375,-0.0395,-0.3055,-0.73925,0.6345,0.378375,-0.065125,0.067625
EML5,-0.0885,0.0095,-0.63,-0.7905,0.476,-1.878,-0.181,-0.604,-0.1975,-0.361,-0.143,-0.3705,-0.9885,0.0435,-0.4345,-0.9375
UBQLN2,0.106,-0.12475,-0.691,-0.15575,0.33,-0.1445,0.22275,-0.0005,0.03575,0.616,-0.71075,-0.492,0.63125,0.65375,0.722,0.833
GNAO1,-0.010142857,-0.585857143,-0.071785714,0.240571429,-0.215857143,0.411,-0.088090909,-0.077714286,0.526857143,0.147142857,-0.266,0.288142857,-0.284785714,0.298,0.064357143,0.132142857
RPL10,1.1839,-0.2885,-0.0016,-0.5401,-0.3867,-0.4903,0.145,0.2077,1.2994,0.8348,0.0238,0.4571,-0.4982,0.5513,-0.0138,0.2394
PFKL,-0.571166667,-1.187333333,-0.677333333,-0.5175,-1.213,-1.42,-1.025166667,-1.4185,-0.479333333,-0.9285,-0.860166667,-1.051833333,-0.8,-0.094,-0.7405,-0.951166667
FLJ39660,-2.751333333,-1.876166667,-2.653,-3.381833333,-1.488333333,-1.374,-2.749833333,-0.842166667,-3.051,-1.4975,-1.238666667,-2.856333333,-1.260833333,-2.9125,-2.600666667,-1.378666667
SPRR2F,1.1655,-1.7125,-1.5575,-0.8895,-1.322,1.4365,-1.27,0.7215,1.568,-0.4235,-1.711,-1.0315,2.4945,-0.8625,-0.624,2.317
SNTG2,-1.23325,-1.80725,-2.277,-0.59,-2.3655,-1.5065,-1.9145,-0.89475,-1.1615,-0.954,-1.8365,-2.07025,-2.28,-1.498,-0.7975,0.041
C6orf173,-2.820166667,-1.538,-1.657666667,-2.338666667,-0.254166667,-1.319833333,-1.673333333,-1.698833333,-1.736666667,-2.678166667,0.02,-2.376833333,0.333166667,-0.436166667,-2.829333333,-1.765666667
PXN,-0.687,-0.454142857,-0.476214286,-0.119,-0.654642857,-0.535857143,-0.447714286,-0.353,-0.822714286,-0.249714286,-0.8085,-0.556071429,-0.252785714,-0.4065,-0.731642857,-0.369571429
PDSS1,-1.43425,-1.04225,-1.99425,-1.9975,-1.0085,-0.54625,-1.45275,-1.05875,-1.92775,-2.10775,-0.353,-1.99925,-0.71275,-1.09675,-1.52075,-1.148
BMP8A,0.569,0.8255,1.5725,0.2875,0.037,-0.86,0.537,-0.0185,0.988,1.328,-0.1555,0.5905,-0.635,-0.334,0.653,0.5555
PAX1,0.103333333,-0.0955,0.282833333,0.110166667,0.120166667,-0.096333333,0.0625,0.077166667,0.102666667,-0.223666667,0.2785,0.237833333,-0.145333333,-0.019166667,-0.246333333,-0.1035
PSMD8,0.2385,-0.030166667,0.226666667,-0.401,0.576,0.424166667,-0.0775,0.255666667,0.244166667,-0.249833333,-0.344833333,-0.003833333,1.323166667,-0.3035,0.4845,0.034666667
HTR1E,-0.672166667,3.124333333,-1.075833333,-0.883333333,-0.638333333,-1.285833333,-0.334666667,-0.192166667,-0.273833333,-0.899666667,-0.667833333,-0.89,-1.583166667,-0.586666667,-0.0905,0.1875
RABGEF1,-1.124857143,-0.869285714,-0.785214286,-0.744928571,0.503642857,-0.499642857,-0.281928571,-0.875857143,-0.239214286,-0.483,-0.230071429,-0.645,-0.154785714,-0.406785714,-0.691857143,-0.575142857
AGXT2L1,-1.237,-3.51075,-2.62425,2.04175,0.65425,-2.94075,-3.171,-2.01325,-3.341,-3.1775,-4.2355,-2.68125,-3.16125,-2.27025,-1.539,-2.40475
FNTB,-0.0583,-0.1863,0.0286,-0.2954,-0.6474,0.5767,0.0233,-0.3264,-0.1457,-0.6558,-0.3349,-0.4445,-0.6121,-0.0443,-0.4368,0.1075
DSE,0.51025,1.31025,1.22525,1.17575,1.23025,1.48175,2.03575,1.3715,1.6735,1.68675,0.431,1.53275,3.68825,2.64175,1.286,3.51225
LOC130576,0.366,0.3705,0.50975,-1.83375,1.707,1.1135,-1.628,-2.3225,1.16175,-2.53175,-2.925,-2.73375,0.6895,0.93525,1.749,-2.2065
SLC39A9,0.422833333,0.4935,0.776,0.6735,0.592666667,1.854833333,0.4005,-0.090666667,0.829833333,-0.275166667,0.853333333,0.305333333,0.123,0.512,0.210166667,0.288666667
ATG7,0.524333333,0.193,0.546166667,0.550166667,0.0195,0.606166667,0.884,0.449333333,0.107666667,0.542,-0.074,0.748,1.320333333,1.0885,0.027833333,0.427333333
FAM82A,2.931,2.372,4.526,3.539666667,1.983333333,1.740833333,2.651666667,0.849833333,4.331166667,3.443833333,0.827166667,4.856166667,1.581,3.6265,3.200333333,1.794
SFRS2B,0.235333333,1.139,0.14125,0.474166667,1.593583333,1.046583333,0.90625,0.182,0.91,0.597166667,0.963083333,0.745916667,1.054083333,0.50325,0.989916667,1.219333333
GPR23,-1.582,-1.5515,-1.211,-2.814,-0.5815,-1.8575,-2.4555,-1.4455,-1.437,-0.9085,-1.2535,-1.1325,-1.454,-0.529,-2.118,-0.1185
LRP5,-0.909333333,0.447333333,-0.645166667,-0.421833333,1.182,0.039,0.0715,1.3205,-0.283,-0.535333333,0.2745,-0.980833333,0.231333333,-0.370833333,0.150833333,-0.359666667
MAP1A,-1.2095,-1.525,-0.6655,0.0815,-0.95875,0.22775,-1.25075,-0.88425,-0.84475,-1.0245,-1.312,-1.37225,-1.08975,-0.9225,-0.4865,-0.31525
CNTN1,-0.313,-0.53525,2.01025,-0.6475,0.7215,-0.5975,0.252,0.152,-0.04,0.437,4.181,0.0745,0.332,0.01375,-0.40175,0.60975
TMEM181,-0.30625,0.1765,-0.462,0.54275,0.4215,-0.3975,-0.6215,0.046,-1.014,-0.75325,-0.91575,-0.91275,0.12625,-0.73325,1.1425,-0.189
MINPP1,-0.357,-0.28375,1.0195,0.256,1.19875,0.13625,0.265,-0.1585,-0.08275,-1.10875,1.34275,-0.35275,1.1415,-0.67875,0.7015,0.748
OR4D6,0.464,0.3855,0.4895,0.0585,0.1995,0.2315,-0.1475,0.029,0.16,0.328,-0.269,1.271,0.1925,0.567,-0.0895,-0.333
ZNF544,0.2323,-0.6297,-0.6916,-0.9806,-0.3813,0.1167,-0.4906,-0.245,-0.7085,-0.5714,-1.0586,-0.8334,-0.8367,-0.5128,-0.5048,-1.1571
D2HGDH,-0.100375,0.00525,-0.055375,-0.131,-0.133375,-0.4455,-0.411,-0.06375,-0.122875,-0.5125,-0.471125,-0.33625,-0.26225,-0.096125,-0.35875,-0.55975
KRT16,0.474166667,-1.738666667,-2.13,-0.3655,-2.2715,-2.657166667,-1.4455,-0.677666667,0.103,-1.671,-1.542666667,0.235666667,0.289833333,0.415666667,-0.456833333,2.962166667
KLF5,3.0985,3.041,1.050875,2.87225,1.473875,2.906625,1.69275,0.545875,2.8205,2.27425,3.2925,3.1865,2.23825,-0.697625,2.034,0.632125
HBE1,-4.1952,-4.6529,-4.6025,-4.3666,-4.6632,-4.7797,-4.8834,-4.7184,-4.7147,-4.4482,-5.0595,-4.6374,-5.1352,-4.7318,-4.9337,-4.8277
ROBO4,2.646166667,2.954333333,2.474666667,4.2885,2.464166667,2.4285,3.544333333,3.0855,2.517666667,3.391166667,2.982666667,3.073166667,2.793,2.145166667,3.0925,2.683166667
CPEB4,1.302875,0.379375,0.786875,0.8045,0.44375,0.954625,1.140625,0.541375,0.259625,2.006125,-0.250125,1.4025,0.936125,0.09,1.201125,0.64025
BCKDHA,0.561666667,-0.024666667,0.3025,0.139833333,0.492166667,0.109666667,0.195833333,0.109,0.537666667,-0.411833333,-0.922166667,0.6175,0.519833333,0.2885,0.3185,-0.529333333
MYOC,0.3955,2.075,1.887,2.20225,0.461,0.2605,1.098,-0.02625,0.86975,0.832,0.77975,0.9355,0.523,0.72025,0.77775,0.4895
GIF,0.2225,-0.422,-0.247,-0.336,-0.6205,0.454,0.123,-0.085,-0.2685,-0.3735,1.1835,-0.5155,-0.203,-1.15,0.1115,0.12
EIF4ENIF1,0.2975,0.9465,0.25925,0.44,0.64875,0.478,0.4355,0.7765,-0.2055,0.74775,0.5495,0.67125,0.01,0.76975,0.644,0.462
TNFRSF21,1.578625,1.316125,-0.37425,1.479625,-0.36575,1.28725,2.347125,0.963875,0.862875,-0.102875,1.01025,-0.194875,2.292125,-0.270375,1.45225,1.449
TMPRSS7,0.419,-0.093,0.8945,-0.092,0.431,-0.5655,-0.097,0.197,-0.7145,0.2975,-1.0825,1.3255,0.119,0.222,0.3875,-0.0715
SPATA18,0.8219,-0.1821,0.7669,2.5339,-0.1035,0.6581,0.3929,0.4699,2.1345,0.1183,0.7903,-0.1158,-0.3313,-0.0506,1.7923,0.7949
HPDL,-2.5215,-3.3905,-3.0355,-3.1795,-2.119,-1.255,-2.3235,-2.7495,-2.947,-2.1655,-1.7815,-3.141,-2.932,0.3165,-2.9705,-1.9925
ELMO1,0.735875,0.013,-0.166375,0.98325,1.062625,0.18275,0.593875,0.130375,0.084,0.156875,0.17875,-0.070625,0.321125,-0.1035,0.685625,0.18325
LOC653314,0.0796,0.3397,-0.6251,-0.4754,-0.2218,-0.7566,-0.2961,0.0618,-0.5856,0.1411,1.146,-0.0929,-0.7265,-0.27,-0.566,-0.4768
